ID,Region,Revenu Annuel (<30,000 MAD),Revenu Annuel (30,000-100,000 MAD),Revenu Annuel (>100,000 MAD)
1,Rabat-Salé-Kénitra,125000,350000,125000
2,Grand Casablanca-Settat,210000,500000,150000
3,Fès-Meknès,100000,300000,50000
4,Marrakech-Safi,110000,350000,80000
5,Tanger-Tétouan-Al Hoceïma,90000,280000,70000
6,Souss-Massa,75000,200000,45000
7,Béni Mellal-Khénifra,68000,160000,30000
8,L'Oriental,60000,140000,26000
9,Dakhla-Oued Ed-Dahab,3000,10000,5000
10,Guelmim-Oued Noun,17000,35000,15000
11,Laâyoune-Sakia El Hamra,25000,50000,20000
12,Drâa-Tafilalet,45000,120000,25000
