ID,Pays d'origine,Pays de destination,Année,Raison principale,Niveau d'éducation (Primaire/Secondaire/Supérieur)
1,Maroc,France,2020,Travail,Supérieur
2,Syrie,Allemagne,2018,Conflit,Secondaire
3,Inde,États-Unis,2021,Études,Supérieur
4,Mexique,États-Unis,2019,Travail,Secondaire
5,Algérie,Canada,2020,Travail,Supérieur
6,Nigeria,Royaume-Uni,2021,Études,Supérieur
7,Afghanistan,Iran,2019,Conflit,Primaire
8,Philippines,Arabie Saoudite,2021,Travail,Secondaire
9,Bangladesh,Malaisie,2020,Travail,Secondaire
10,Vietnam,Australie,2018,Études,Supérieur
11,Soudan,Égypte,2021,Conflit,Primaire
12,Pologne,Allemagne,2019,Travail,Supérieur
13,Érythrée,Italie,2020,Conflit,Primaire
14,Chine,Canada,2021,Études,Supérieur
15,Turquie,Pays-Bas,2019,Travail,Supérieur
