ID,Region,Culture Céréalière (hectares),Culture Arboricole (hectares),Élevage (têtes de bétail)
1,Rabat-Salé-Kénitra,25000,12000,150000
2,Grand Casablanca-Settat,42000,18000,300000
3,Fès-Meknès,35000,14000,280000
4,Marrakech-Safi,40000,20000,320000
5,Tanger-Tétouan-Al Hoceïma,23000,10000,140000
6,Souss-Massa,15000,5000,90000
7,Béni Mellal-Khénifra,18000,6000,110000
8,L'Oriental,12000,4000,70000
9,Dakhla-Oued Ed-Dahab,1000,500,5000
10,Guelmim-Oued Noun,5000,2000,25000
11,Laâyoune-Sakia El Hamra,3000,1000,15000
12,Drâa-Tafilalet,7000,3000,20000
